Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,114,7188,5297,3259,285,1163,103,728,3669,64,564
D:\Projects\master_thesis\Assets\__Scripts,114,7188,5297,3259,285,1163,103,728,3669,64,564
D:\Projects\master_thesis\Assets\__Scripts\Api,11,623,381,234,23,93,11,149,838,0,40
D:\Projects\master_thesis\Assets\__Scripts\Api\Repositories,1,86,52,28,6,9,1,25,161,0,4
D:\Projects\master_thesis\Assets\__Scripts\Api\Tester,3,183,127,79,4,27,3,29,159,0,8
D:\Projects\master_thesis\Assets\__Scripts\Api\UseCases,4,128,64,34,5,21,4,43,237,0,16
D:\Projects\master_thesis\Assets\__Scripts\Configuration,1,94,75,47,3,15,1,4,16,0,4
D:\Projects\master_thesis\Assets\__Scripts\Controller,9,795,622,403,28,130,18,43,294,0,28
D:\Projects\master_thesis\Assets\__Scripts\Di,11,380,258,190,0,64,3,58,210,28,117
D:\Projects\master_thesis\Assets\__Scripts\Di\TestInstaller,2,65,43,33,0,12,1,10,36,0,4
D:\Projects\master_thesis\Assets\__Scripts\Editor,3,106,75,45,2,15,1,16,53,4,19
D:\Projects\master_thesis\Assets\__Scripts\Factories,3,119,85,50,4,24,3,10,47,0,12
D:\Projects\master_thesis\Assets\__Scripts\GameManagement,19,1617,1173,690,69,269,16,175,878,0,60
D:\Projects\master_thesis\Assets\__Scripts\GameManagement\AbstractStates,2,229,149,83,14,35,1,45,249,0,0
D:\Projects\master_thesis\Assets\__Scripts\GameManagement\States,15,1190,867,503,40,209,13,114,523,0,52
D:\Projects\master_thesis\Assets\__Scripts\GameManagement\States\BuildStateMachine,8,816,626,364,37,148,7,42,227,0,28
D:\Projects\master_thesis\Assets\__Scripts\GameManagement\States\RaceStateMachine,4,206,159,94,0,33,4,14,71,0,16
D:\Projects\master_thesis\Assets\__Scripts\Misc,1,39,30,19,2,6,1,3,15,0,4
D:\Projects\master_thesis\Assets\__Scripts\Models,3,169,135,73,13,20,2,14,52,4,23
D:\Projects\master_thesis\Assets\__Scripts\Signals,1,12,6,5,0,3,1,3,15,0,4
D:\Projects\master_thesis\Assets\__Scripts\Splines,6,690,511,318,54,124,10,55,297,4,35
D:\Projects\master_thesis\Assets\__Scripts\Tutorial,5,85,72,38,3,13,0,0,0,0,0
D:\Projects\master_thesis\Assets\__Scripts\Utility,12,414,289,175,26,67,6,58,278,12,69
D:\Projects\master_thesis\Assets\__Scripts\Utility\Extensions,6,161,114,70,13,25,1,22,86,12,49
D:\Projects\master_thesis\Assets\__Scripts\Utility\Utils,3,126,80,49,8,19,2,27,147,0,8
D:\Projects\master_thesis\Assets\__Scripts\View,29,2045,1585,972,58,320,30,140,676,12,149
D:\Projects\master_thesis\Assets\__Scripts\View\DiscreteSlider,2,161,123,81,10,21,2,17,65,0,8
D:\Projects\master_thesis\Assets\__Scripts\View\ModalDialog,5,237,181,109,10,37,5,19,83,0,20
D:\Projects\master_thesis\Assets\__Scripts\View\StateUI,11,1019,800,469,17,161,11,58,312,8,66
D:\Projects\master_thesis\Assets\__Scripts\View\UI,9,470,360,235,19,73,10,37,166,4,47
